question	ans1	ans2	ans3	ans4	ansRight
Na ile województw dzieli si? Polska ? 	14	15	16	17	3
Na ile powiatów podzielona jest Polska ?	mniej ni? 300	wi?cej ni? 350	 dok?adnie 314	dok?adnie 344	3
Które miasto jest stolic? W?och ?	Mediolan	Rzym	Wenecja	Turyn	2
Które miasto jest stolic? B?ugarii ?	Warna	Sofia	P?owdiw	Bukareszt	2
Które miasto jest stolic? Niemiec ?	Frankfurt	Hanower	Berlin	Lipsk	3
Które miasto jest stolic? Chorwacji ?	Sisak	Rijeka	Lublana	Zagrzeb	4
Które miasto jest stolic?  Hiszapnii ?	Barcelona	Madryt	Sewilla	Walencja	2
Które miasto jest stolic? W?gier ?	Balaton	Sopron	Papa	Budapeszt	4
Które miasto jest stolic? Polski ?	Kraków	Warszawa	Wrco?aw	Gda?sk	2
Które miasto jest stolic? Czech ?	Praga	Przybram	Brno	Ostrawa	1
Które miasto jest stolic? Grecji ?	Saloniki	Ateny	Janina	Trikala	2
Które miasto jest stolic? Austrii ?	Graz	Linz	 Wiede?	Monachium	3
Które miasto jest stolic? Litwy ?	Mariampol	K?ajpeda	Kowno	Wilno	4
Które miasto jest stolic? S?owacji ?	Bratys?awa	Koszyce	Trenczyn	Ba?ska Bystrzyca	1
Które miasto jest stolic? ?otwy ?	Kie?	Wilno	Lipawa	Ryga	4
Które miasto jest stolic? S?owenii ?	Lubaczów	Celje	Bled	Lublana	4
Które miasto jest stolic? Rumunii ?	Jassy	Bukareszt	Klu?-Napoka	Timisoara	2
Które miasto jest stolic? Szwecji ?	Malmo	Kristianstad	Sztokholm	Lund	3
Które miasto jest stolic? Finlandii ?	Turku	Helsinki	Tampere	Lahti	2
Które miasto jest stolic? Belgii ?	Bruksela	Bruksela	Antwerpia	Gandawa	2
Które miasto jest stolic? Estonii ?	Parnawa	Tallinn	Rakvere	Haapsalu	2
Które miasto jest stolic? Holandii ?	Lejda	Haga	Amsterdam	Rotterdam	3
Które miasto jest stolic? Irlandii ?	Dublin	Cork	Tralle	Liverpool	1
Które miasto jest stolic? Cypru ?	Peja	Olimp	Cypr	Nikozja	4
Które miasto jest stolic? Francji ?	Lyon	Tours	Pary?	Orlean	3
Które miasto jest stolic? Danii ?	Randers	Esbjerg	Kolding	Kopenhaga	4
Które miasto jest stolic? Portugalii ?	Odense	Porto	Braga	Lizbona	4
Które miasto jest stolic? Luksemburgu ?	Luksemburg	Trewir	Mamer	Wiltz	1
Które miasto jest stolic? Malty ?	San Marino	Malta	Valletta	Bari	3
Jaki szczyt jest najwy?szym punktem na terenie Polski ?	Rygi	Ryby	Rysy	Raczki	3
Jaka jest najd?u?sza rzeka Polski ?	San	Wis?a	Wis?oka	Odra	2
Które jezioro Polskie jest najwi?ksze ?	Ha?cza	?niardwy	Mamry	Wigry	2
Które jezioro Polskie jest najg??bsze ?	Ha?cza	Drawsko	Wielki Staw Poslki	Czarny Staw pod Rysami	1
Ile wynosi przeci?tna liczba lat trwania ?ycia m??czyzn w Polsce w 2017 ?	mi?dzy 70 lat a 75 lat 	powy?ej 80 lat	mi?dzy 75 lat a 80 lat 	poni?ej 70 lat	1
Ile wynosi przeci?tna liczba lat trwania ?ycia kobiet w Polsce w 2017 ?	mi?dzy 85 lat a 90 lat 	powy?ej 90 lat	mi?dzy 80 lat a 85 lat 	poni?ej 80 lat	3
Jaki procent m??czyzn w 2015 roku oceni? swój stan zdrowia na bardzo dobry i dobry ?	poni?ej 30%	mi?dzy 30% a 50 %	mi?dzy 50% a 60 %	powy?ej 60%	4
Jaki procent kobiet w 2015 roku oceni? swój stan zdrowia na bardzo dobry i dobry ?	poni?ej 30%	mi?dzy 30% a 50 %	mi?dzy 50% a 60 %	powy?ej 60%	3
Jaki procent m??czyzn w 2015 roku oceni? swój stan zdrowia na taki sobie, ani dobry ani z?y ?	poni?ej 30%	mi?dzy 30% a 50 %	mi?dzy 50% a 60 %	powy?ej 60%	1
Jaki procent kobiet w 2015 roku oceni? swój stan zdrowia na taki sobie, ani dobry ani z?y ?	poni?ej 30%	mi?dzy 30% a 50 %	mi?dzy 50% a 60 %	powy?ej 60%	2
Jaki procent m??czyzn w 2015 roku oceni? swój stan zdrowia na z?y ?	poni?ej 30%	mi?dzy 30% a 50 %	mi?dzy 50% a 60 %	powy?ej 60%	1
Jaki procent kobiet w 2015 roku oceni? swój stan zdrowia na z?y ?	poni?ej 30%	mi?dzy 30% a 50 %	mi?dzy 50% a 60 %	powy?ej 60%	1
Jaki procent przedsi?biorstw w 2017 wykorzystywa? do pracy komputery stacjonarne ?	poni?ej 45%	mi?dzy 45% a 65 %	mi?dzy 65% a 90 %	powy?ej 90%	4
Jaki procent przedsi?biorstw w 2017 mia?o dost?p do internetu ?	poni?ej 45%	mi?dzy 45% a 65 %	mi?dzy 65% a 90 %	powy?ej 90%	4
Jaki procent przedsi?biorstw w 2017 mia?o w?asn? strone internetow? ?	poni?ej 45%	mi?dzy 45% a 65 %	mi?dzy 65% a 90 %	powy?ej 90%	3
Ile wynosi przeci?tna liczba lat trwania ?ycia m??czyzn w Europie w 2016 ?	mi?dzy 70 lat a 75 lat 	powy?ej 80 lat	mi?dzy 75 lat a 80 lat 	poni?ej 70 lat	3
Ile wynosi przeci?tna liczba lat trwania ?ycia kobiet w Europie w 2016 ?	mi?dzy 85 lat a 90 lat 	powy?ej 90 lat	mi?dzy 80 lat a 85 lat 	poni?ej 80 lat	3
